time,VLA,VLV,VRA,VRV,pARSYS
2.2001000000e+00,1.4792427360e+02,9.0273929609e+01,1.4196742550e+02,7.1175398286e+01,1.1186003849e+02
2.2101000000e+00,1.4846613186e+02,9.2545741770e+01,1.4216398762e+02,7.2049446898e+01,1.1089056428e+02
2.2201000000e+00,1.4914959459e+02,9.4644545334e+01,1.4240975010e+02,7.2874174866e+01,1.0993378653e+02
2.2301000000e+00,1.4994998138e+02,9.6587965076e+01,1.4269996760e+02,7.3654282480e+01,1.0898953593e+02
2.2401000000e+00,1.5084615982e+02,9.8392749004e+01,1.4303034829e+02,7.4394020222e+01,1.0805764545e+02
2.2501000000e+00,1.5166927838e+02,1.0021891957e+02,1.4339701049e+02,7.5097231792e+01,1.0713795028e+02
2.2601000000e+00,1.5166141874e+02,1.0274804539e+02,1.4379644348e+02,7.5767393005e+01,1.0623028786e+02
2.2701000000e+00,1.5012313377e+02,1.0651830895e+02,1.4422547201e+02,7.6407646987e+01,1.0533449782e+02
2.2801000000e+00,1.4667553393e+02,1.1173013188e+02,1.4468122420e+02,7.7020835989e+01,1.0445042192e+02
2.2901000000e+00,1.4131717145e+02,1.1824322668e+02,1.4502883138e+02,7.7739839450e+01,1.0357790406e+02
2.3001000000e+00,1.3443370309e+02,1.2560120922e+02,1.4461030225e+02,7.9208621052e+01,1.0271679077e+02
2.3101000000e+00,1.2670904372e+02,1.3313309487e+02,1.4282130900e+02,8.2015333825e+01,1.0186693289e+02
2.3201000000e+00,1.1893880943e+02,1.4013024506e+02,1.3940073890e+02,8.6411599783e+01,1.0102818632e+02
2.3301000000e+00,1.1181631106e+02,1.4603466203e+02,1.3448631493e+02,9.2259085102e+01,1.0020041108e+02
2.3401000000e+00,1.0579199596e+02,1.5054961903e+02,1.2856364022e+02,9.9080247309e+01,9.9383469654e+01
2.3501000000e+00,1.0105516551e+02,1.5363499635e+02,1.2232383136e+02,1.0619815138e+02,9.8577225228e+01
2.3601000000e+00,9.7613124837e+01,1.5541683089e+02,1.1648893711e+02,1.1290729082e+02,9.7781540233e+01
2.3701000000e+00,9.5313367317e+01,1.5615956494e+02,1.1157172747e+02,1.1870887197e+02,9.6996275673e+01
2.3801000000e+00,9.3749023775e+01,1.5632847435e+02,1.0754586130e+02,1.2363162023e+02,9.6221291542e+01
2.3901000000e+00,9.2519173849e+01,1.5632848510e+02,1.0427377790e+02,1.2781117288e+02,9.5456448521e+01
2.4001000000e+00,9.1443712522e+01,1.5632849445e+02,1.0163995271e+02,1.3136140187e+02,9.4701609099e+01
