time,VLA,VLV,VRA,VRV,pARSYS
3.3701,71.702113285,125.99703731,83.179651707,91.301312336,102.09247874
3.3801,72.263913542,119.15187804,84.141148967,84.487784908,106.98120247
3.3901,72.874501362,112.44303011,85.103910844,79.038334095,111.69323721
3.4001,73.536607596,106.01874816,86.068142551,74.771610327,116.10655689
3.4101,74.25208236,99.978873608,87.034037148,71.49565562,120.14125092
3.4201,75.021869681,94.384412838,88.00177382,69.044849319,123.75099301
3.4301,75.846081349,89.262552456,88.971516519,67.290993197,126.91839331
3.4401,76.724124742,84.613884897,89.943412912,66.141832131,129.64858037
3.4501,77.654847906,80.421409839,90.9175936,65.50068349,131.96138431
3.4601,78.636677865,76.658436715,91.894171564,65.198428535,133.88453008
3.4701,79.667744355,73.296258948,92.873241732,65.135269913,135.44711147
3.4801,80.745990548,70.310803315,93.854880674,65.135266991,136.67400419
3.4901,81.869268382,67.68747267,94.839146345,65.135264168,137.58186095
3.5001,83.035420334,65.419557796,95.826077858,65.135261478,138.18051631
3.5101,84.242339988,63.515615961,96.815695242,65.135258951,138.46693279
3.5201,85.488004042,62.006970667,97.807999174,65.135256615,138.4191039
3.5301,86.770479312,60.952230744,98.802970656,65.135254498,137.99250692
3.5401,88.087912084,60.467415989,99.8005706,65.135252624,137.0953184
3.5501,89.438506501,60.455125857,100.80073924,65.135251014,135.81440505
3.5601,90.820497145,60.455112184,101.80339567,65.135249688,134.53799004
3.5701,92.232120443,60.455100888,102.80843919,65.13524866,133.27775875
3.5801,93.671585229,60.455092139,103.81575079,65.135247945,132.0339474
3.5901,95.137044451,60.455086047,104.82519388,65.135247552,130.80645877
3.6001,96.626568992,60.455082666,105.8366145,65.135247486,129.59510773
3.6101,98.138123753,60.455081967,106.84984157,65.135247752,128.39968755
3.6201,99.669546069,60.455083849,107.86468719,65.135248348,127.21998783
3.6301,101.2185265,60.455088155,108.88094695,65.135249271,126.05579926
3.6401,102.78259201,60.455094688,109.89840033,65.135250514,124.90691489
3.6501,104.35909143,60.455103225,110.91681118,65.135252066,123.7731305
3.6601,105.94518338,60.455113525,111.93592826,65.135253915,122.65424457
3.6701,107.53782646,60.45512534,112.95548585,65.135256043,121.55005837
3.6801,109.13377189,60.455138424,113.97520443,65.135258432,120.46037581
3.6901,109.66697082,61.520789947,114.99364655,65.136405922,119.38500363
3.7001,108.55641715,64.253664723,115.44817128,65.701225937,118.32375118
3.7101,106.49899475,68.000885903,115.05746265,67.111859775,117.27643022
3.7201,103.92875297,72.367570521,114.04821504,69.142477696,116.24285487
3.7301,101.2061178,77.018790433,112.60460239,71.609472282,115.22284158
3.7401,98.626862132,81.668865131,110.90134151,74.338618422,114.21620911
3.7501,96.370631542,86.134229415,109.11229256,77.156364565,113.2227785
3.7601,94.560824382,90.276854888,107.41639158,79.883810542,112.24237314
3.7701,93.258330394,94.013843994,105.96435835,82.369996094,111.27481872
3.7801,92.446740492,97.335248017,104.7610177,84.609693924,110.31994328
3.7901,92.053306377,100.28619392,103.77499689,86.633895422,109.37757724
3.8001,91.987931492,102.93051221,102.97887338,88.469688874,108.44755333
3.8101,92.169137249,105.326545,102.3486776,90.140750968,107.52970661
3.8201,92.539992002,107.51289338,101.86345814,91.667776384,106.62387438
3.8301,93.056916528,109.52011939,101.5049017,93.068853312,105.72989619
3.8401,93.685489573,111.37340603,101.25700091,94.359791661,104.84761377
3.8501,94.308515081,113.17798457,101.10576397,95.554409955,103.97687101
3.8601,94.478875309,115.33412433,101.03896086,96.664786099,103.11751393
3.8701,93.816490338,118.12663408,101.04590145,97.701476567,102.26939067
3.8801,92.141559657,121.63447064,101.11724165,98.673708001,101.4323514
3.8901,89.484901668,125.75046394,101.15428895,99.678725683,100.60624834
3.9001,86.069848794,130.21622249,100.70817891,101.15583889,99.790936046
3.9101,82.2470961,134.69174601,99.38319825,103.49011564,98.986272598
3.9201,78.401831662,138.84176063,97.026301214,106.82878181,98.192119962
3.9301,74.867541207,142.40838554,93.753053633,111.05650745,97.408343347
3.9401,71.876997699,145.24524509,89.903505315,115.83915239,96.634810044
3.9501,69.557854957,147.31026893,85.941906639,120.72219176,95.87138823
